Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month)
2007-03-19 19:30:27,1174312827.0,hrs,35.72177100000001,-1.22,111.683281,-3.31,6490000000.0,6720000000.0,20.21,15.22,1.03,1.67,3.52,1.75,9.104,8.74,15.92,12.86,20.2,3840000000.0,28.835,20.7,1100000000.0,738200000.0,335500000.0,2.4,213.3,367900000.0,2.744,699200000.0,0.389,1.751,13.531,404500000.0,296790000.0,1.73,49.53,45.67,1031100.0,134090000.0,133060000.0,0.56,83.7,3480000.0,2.8,2.6,3290000.0
2007-03-21 08:58:39,1174447719.0,hrs,36.811832,-5.6,114.14476,-6.03,6590000000.0,6920000000.0,20.53,15.46,1.03,1.72,3.63,1.81,9.38,8.74,15.92,12.86,20.2,3840000000.0,28.835,20.7,1100000000.0,738200000.0,335500000.0,2.4,213.3,367900000.0,2.744,699200000.0,0.389,1.751,13.531,404500000.0,296790000.0,1.73,49.6,45.75,1023980.0,134090000.0,133060000.0,0.56,83.7,3480000.0,2.8,2.6,3290000.0
2007-06-08 15:39:14,1181297354.0,hrs,38.346161,11.28,120.318398,-8.01,6890000000.0,7030000000.0,15.1,15.6,0.63,1.69,3.39,1.75,9.815,11.87,14.3,10.64,26.64,4030000000.0000005,30.273,21.7,1100000000.0,716000000.0,477900000.0,3.4,196.4,522600000.0,3.892,730300000.0,0.366,1.508,14.985,442500000.0,322360000.0,1.38,50.04,48.69,1031060.0,134280000.0,133300000.00000001,0.56,86.7,3650000.0,3.9,2.7,3340000.0
2008-02-09 02:06:45,1202503005.0,hrs,40.682663,-16.83,107.53318,-33.06,7440000000.0,7810000000.0,14.65,13.88,0.94,1.5,3.28,1.62,8.975,10.71,14.62,11.33,25.81,4830000000.0,36.302,29.7,1370000000.0,870500000.0,517000000.0,3.74,21.6,434900000.0,3.205,993100000.0,0.45,1.919,16.278,445100000.0,206090000.0,1.15,54.71,58.34,1054930.0,135700000.0,134740000.0,0.33,78.1,1060000.0,1.5,0.8,1030000.0
2008-04-15 00:01:02,1208197862.0,hrs,36.470921,-39.61,108.203583,-34.33,6650000000.0,7200000000.0,13.04,12.02,0.79,1.38,2.99,1.49,8.285,10.71,14.6,11.32,25.81,4830000000.0,36.302,29.7,1370000000.0,869600000.0,517000000.0,3.73,21.6,434900000.0,3.186,993100000.0,0.45,1.919,16.309,445100000.0,205520000.0,1.28,49.15,55.99,1023950.0,136500000.0,135530000.0,0.3,83.6,967810.0,0.7,0.7,1020000.0
2008-06-24 16:35:12,1214305512.0,hrs,38.621765,-41.48,107.071655,-29.45,6990000000.0,7740000000.0,17.4,12.66,0.85,1.41,3.26,1.52,8.728,8.06,14.06,10.56,19.63,5090000000.0,38.164,24.0,1370000000.0,886800000.0,410100000.0,2.98,-49.7,326400000.0,2.423,893800000.0,0.41,1.95,16.325001,468500000.0,131690000.0,1.31,58.02,54.32,1392200.0,134700000.0,133370000.0,6.34,84.8,1880000.0,1.0,1.4,1350000.0
2010-04-14 06:46:20,1271207780.0,hrs,40.973038,2.51,103.034477,10.71,6430000000.0,7340000000.0,32.12,11.4,0.75,1.31,3.17,1.49,7.68,4.1,16.6,11.6,14.28,4920000000.0,37.514,-8.7,1580000000.0,955400000.0,296400000.0,1.53,N/A,314400000.0,2.404,1220000000.0,N/A,1.855,15.571,798900000.0,742140000.0,0.89,46.85,44.64,877092.0,130810000.0,130060000.0,0.4,84.1,3580000.0,4.3,N/A,2780000.0
2010-09-25 07:08:51,1285378731.0,hrs,37.67237100000001,-19.83,98.608299,0.85,5850000000.0,6500000000.0,10.61,9.57,1.91,1.11,2.6,1.25,5.92,10.79,17.93,12.68,27.67,5210000000.0,40.36,12.5,1870000000.0,1100000000.0,555700000.0,4.28,N/A,459900000.0,3.56,1210000000.0,55.14,1.91,17.18,802700000.0,557190000.0,0.98,43.92,46.11,1088590.0,129039999.99999999,128190000.0,0.45,85.4,3360000.0,2.8,N/A,3140000.0
2011-10-20 07:46:18,1319076978.0,hrs,30.781693,31.95,106.559746,20.38,4300000000.0,6000000000.0,7.78,6.57,0.74,0.73,1.76,1.01,4.88,9.93,17.16,11.64,24.97,5920000000.0,47.28,14.5,2109999999.9999998,1230000000.0,580800000.0,4.6,-11.8,372300000.0,3.1,2069999999.9999998,82.49,1.55,20.32,833100000.0,395500000.0,0.8,37.26,42.99,1595790.0,120210000.0,119420000.0,0.33,85.6,15070000.0,9.9,12.8,14910000.0
2012-07-28 11:41:32,1343455892.0,hrs,36.972969,27.97,123.409416,24.67,4840000000.0,6770000000.0,147.09,8.24,3.08,0.78,2.45,1.12,5.56,0.58,15.89,10.27,5.99,6040000000.0,51.62,4.5,2109999999.9999998,1220000000.0,132900000.0,0.29,N/A,305300000.0,2.68,2240000000.0,117.67,1.47,16.82,759500000.0,385750000.0,1.28,41.17,41.91,830956.0,113780000.0,113070000.0,0.36,92.0,8180000.0,11.8,6.9,9000000.0
